bcw_id,Genus,Group,ACC,BNF,IAA,PO4
BCW-200218,Enterobacter,DSN,1.16,0.9,12.12,1118.11
BCW-200107,Enterobacter,DSN,1.14,1.1,15.65,1057.74
BCW-201938,Enterobacter,DSN,0.86,1.1,4.17,1051.12
BCW-201957,Enterobacter,DSN,0.96,1.1,19.59,1048.06
BCW-200054,Enterobacter,DSN,1.02,1,20.67,1015.34
BCW-201839,Enterobacter,DSN,2.73,1.1,97.53,1012.27
BCW-200012,Enterobacter,DSN,1.15,1,15.53,1002.04
BCW-201903,Enterobacter,DSN,0.93,1,17.48,965.24
BCW-201945,Enterobacter,DSN,1.16,1.1,14.43,958.08
BCW-200009,Enterobacter,DSN,1.27,1,19.23,949.9
BCW-200025,Enterobacter,DSN,0.86,1,5.9,939.67
BCW-201811,Enterobacter,DSN,2.01,1,20.41,931.49
BCW-201914,Enterobacter,DSN,0.76,1,7.38,921.27
BCW-201878,Enterobacter,DSN,1.1,1.4,18.93,911.04
BCW-200047,Enterobacter,DSN,1.08,0.9,29.6,891.62
BCW-200023,Enterobacter,DSN,1.06,0.8,7.42,860.94
BCW-201877,Enterobacter,DSN,0.96,1.2,43.21,858.9
BCW-201882,Enterobacter,DSN,1.06,1.4,8.55,857.87
BCW-201885,Enterobacter,DSN,2.3,1.4,15.04,854.81
BCW-200013,Enterobacter,DSN,1.1,1,6.07,852.76
BCW-201881,Enterobacter,DSN,1.04,1.2,11.53,850.72
BCW-201857,Enterobacter,DSN,0.92,1,9.92,846.84
BCW-201933,Enterobacter,DSN,1.1,1.4,14.4,846.63
BCW-201866,Enterobacter,DSN,1.53,1.4,16.77,845.6
BCW-200055,Enterobacter,DSN,0.98,0.9,26.52,843.56
BCW-201814,Enterobacter,DSN,1.33,1.2,11.91,835.38
BCW-200029,Enterobacter,DSN,1.04,1,3.76,834.36
BCW-200268,Enterobacter,DSN,2.3,1,15.17,832.67
BCW-200027,Enterobacter,DSN,0.9,1,3.84,832.31
BCW-200018,Enterobacter,DSN,1.01,1,10.51,826.18
BCW-201880,Enterobacter,DSN,1.5,2.2,26.54,823.11
BCW-201726,Enterobacter,DSN,2.69,1.1,8.7,810.84
BCW-200092,Enterobacter,DSN,2.11,1,22.36,808.79
BCW-201895,Enterobacter,DSN,1.09,1.7,18.55,808.79
BCW-200043,Enterobacter,DSN,1.08,1.1,0.76,804.7
BCW-200041,Enterobacter,DSN,2.51,1,34.91,790.39
BCW-200064,Enterobacter,DSN,1.01,1,21.54,790.39
BCW-200279,Enterobacter,DSN,2.33,1.3,23.18,786.3
BCW-201874,Enterobacter,DSN,1.01,1.3,10.15,783.23
BCW-201832,Enterobacter,DSN,1.13,1.2,53.26,781.19
BCW-200015,Enterobacter,DSN,1.38,1,13.68,780.16
BCW-200082,Enterobacter,DSN,1.02,1,0.02,761.76
BCW-201812,Enterobacter,DSN,2.49,1.1,22.67,688.14
BCW-200883,Enterobacter,DSN,2.5,1.2,13.74,669.73
BCW-201847,Enterobacter,DSN,2.82,1.2,14.48,650.31
BCW-201975,Enterobacter,DSN,2.3,1.1,16.36,556.24
BCW-201899,Enterobacter,DSN,1.32,1.2,21.81,532.72
BCW-201949,Enterobacter,DSN,0.87,1,11.65,503.07
BCW-201884,Enterobacter,DSN,1.42,1.3,23.46,434.56
BCW-201889,Enterobacter,DSN,4.74,1.5,18.78,298.57
BCW-200319,Erwinia,DSN,2.37,1,7.02,1390.75
BCW-201865,Erwinia,DSN,1.01,1.1,2.9,1349.69
BCW-201853,Erwinia,DSN,1.09,1.1,30.36,858.9
BCW-201854,Erwinia,DSN,0.87,1.1,15.04,400.82
BCW-201173,Escherichia,DSN,1.3,1.5,24.33,980.57
BCW-201236,Hafnia,DSN,1.42,1.4,6.54,1262.78
BCW-201056,Hafnia,DSN,1.63,1.1,13.18,1097.14
BCW-201450,Hafnia,DSN,2.66,1,18.78,514.31
BCW-200121,Lactococcus,DSN,3.14,2.7,20.84,1257.22
BCW-200163,Lactococcus,DSN,3.22,2.8,140.14,1098.43
BCW-200138,Lactococcus,DSN,3.26,3.1,23.72,1041.99
BCW-200188,Lactococcus,DSN,1.56,0.9,2.2,984.25
BCW-201861,Lactococcus,DSN,1.54,1.2,1.17,976.48
BCW-201453,Lactococcus,DSN,2.72,1,18.58,945.99
BCW-200174,Lactococcus,DSN,1.48,3,28.95,847.77
BCW-200158,Lactococcus,DSN,1.72,No Data,-0.77,808.4
BCW-200160,Lactococcus,DSN,2.51,No Data,24.67,774.28
BCW-200241,Lactococcus,DSN,1.78,4.2,3.02,742.78
BCW-200198,Lactococcus,DSN,1.32,3.4,1.46,724.41
BCW-200238,Lactococcus,DSN,1.61,1.1,5.74,723.1
BCW-200229,Lactococcus,DSN,2.07,No Data,0.26,612.86
BCW-200180,Lactococcus,DSN,1.64,0.8,-4.14,574.8
BCW-200232,Lactococcus,DSN,1.31,No Data,10.67,557.74
BCW-200128,Lactococcus,DSN,2.27,3,1.13,526.25
BCW-200150,Lactococcus,DSN,1.68,No Data,15.61,498.69
BCW-200159,Lactococcus,DSN,2.27,2.9,37.67,329.44
BCW-200196,Lactococcus,DSN,1.34,2.8,-0.11,310.5
BCW-200077,Lactococcus,DSN,1.22,0.9,-4.06,226.72
BCW-200051,Lactococcus,DSN,1.26,2.2,2.32,222.56
BCW-200192,Lactococcus,DSN,1.39,0.9,82.57,176.3
BCW-200175,Lactococcus,DSN,1.68,3.7,26.44,149.78
BCW-200634,Lelliottia,DSN,1.74,1.1,14.76,1446.83
BCW-200596,Lelliottia,DSN,2.27,1.3,2.54,1142.13
BCW-200275,Lelliottia,DSN,1.2,1.2,3.74,907.98
BCW-201260,Lelliottia,DSN,1,1.2,1.73,899.8
BCW-200271,Lelliottia,DSN,2.29,1,16.36,852.5
BCW-201103,Lelliottia,DSN,2.46,1,17.2,844
BCW-200033,Lelliottia,DSN,0.95,0.8,4.38,803.68
BCW-201258,Lelliottia,DSN,1.63,1,1.98,800.57
BCW-200270,Lelliottia,DSN,1.36,1.3,9.41,798.57
BCW-200994,Lelliottia,DSN,2.2,1,19.41,789.24
BCW-200641,Lelliottia,DSN,2.29,1,30.31,779.14
BCW-200269,Lelliottia,DSN,1.08,1,3.03,743.91
BCW-200991,Lelliottia,DSN,0.91,1.1,7.3,718.81
BCW-201084,Lelliottia,DSN,1.11,1.2,3.16,708.59
BCW-200556,Lelliottia,DSN,1.06,1.3,0.69,705.52
BCW-200989,Lelliottia,DSN,2.64,1,10.97,669.73
BCW-200473,Lelliottia,DSN,1.05,1.2,4.99,649.28
BCW-200040,Lelliottia,DSN,1.5,1,16.64,642.13
BCW-200003,Lelliottia,DSN,1.33,0.9,20.14,641.1
BCW-201151,Lelliottia,DSN,1.25,1.1,1.86,640.08
BCW-201045,Lelliottia,DSN,2.24,1.3,16.82,633.95
BCW-200071,Lelliottia,DSN,0.98,1,22.53,606.34
BCW-200990,Lelliottia,DSN,No Data,1,No Data,No Data
BCW-200060,Metakosakonia,DSN,1.16,1,31.99,757.67
BCW-200067,Microbacterium,DSN,2.45,0.9,35.49,640.08
BCW-200057,Microbacterium,DSN,1.22,2.4,-3.89,245.62
BCW-200115,Morganella,DSN,1.63,1,210.76,795.28
BCW-201826,Pantoea,DSN,2.52,1.1,20.97,1561.35
BCW-201827,Pantoea,DSN,1.11,1.1,27.61,1384.46
BCW-201867,Pantoea,DSN,1.33,1.4,11.86,1349.69
BCW-201848,Pantoea,DSN,1.47,1.1,28.73,1260.74
BCW-201997,Pantoea,DSN,0.78,1,9.87,1220.77
BCW-201833,Pantoea,DSN,1.25,1.1,41.78,1067.48
BCW-201995,Pantoea,DSN,2.32,1,15.39,1001.7
BCW-201917,Pantoea,DSN,1.93,1.4,8.47,990.8
BCW-200952,Pantoea,DSN,2.88,1.1,6.46,891.62
BCW-201897,Pantoea,DSN,1.33,1.2,30.18,873.21
BCW-201864,Pantoea,DSN,2.05,1.2,19.82,775.05
BCW-201081,Pantoea,DSN,2.47,1,9.26,642.13
BCW-201909,Pantoea,DSN,1.93,1.2,19.95,541.92
BCW-202001,Pantoea,DSN,No Data,1,No Data,No Data
BCW-200471,Pseudomonas,DSN,2.29,1.1,6.16,1166.67
BCW-200718,Rahnella,DSN,1.26,1.1,2.11,2051.12
BCW-200146,Rahnella,DSN,1.73,0.9,16.89,1767.72
BCW-200157,Rahnella,DSN,1.47,0.8,110.55,1574.8
BCW-200151,Rahnella,DSN,1.74,0.8,20.55,1493.44
BCW-201008,Rahnella,DSN,1.46,1.1,0.43,1458.08
BCW-201248,Rahnella,DSN,0.93,1,9.8,1309.54
BCW-200806,Rahnella,DSN,2.49,1.1,6.16,1277.1
BCW-200642,Rahnella,DSN,1.24,1.1,6.92,1275.05
BCW-200808,Rahnella,DSN,2.09,1.3,1.83,1222.9
BCW-201175,Rahnella,DSN,1.24,1.1,46.62,1178.94
BCW-200724,Rahnella,DSN,1.14,1.1,7.43,1169.73
BCW-200815,Rahnella,DSN,2.79,1.1,92.62,1139.06
BCW-200155,Rahnella,DSN,2.07,0.9,29.65,1125.98
BCW-200723,Rahnella,DSN,1.34,1.2,26.72,1125.77
BCW-200715,Rahnella,DSN,1.24,1.2,8.55,1096.11
BCW-201025,Rahnella,DSN,1.62,1.2,12.21,1095.09
BCW-201014,Rahnella,DSN,1.35,1.2,5.47,1076.69
BCW-201245,Rahnella,DSN,1.21,1.2,18.32,1049.08
BCW-200725,Rahnella,DSN,1.35,1.2,34.22,1046.01
BCW-201982,Rahnella,DSN,1.03,1,3.61,1032.72
BCW-200810,Rahnella,DSN,1.22,1.3,16.49,1027.61
BCW-201036,Rahnella,DSN,3.23,1,83.54,1025.56
BCW-200149,Rahnella,DSN,1.42,0.8,11.7,1023.62
BCW-201007,Rahnella,DSN,1.03,1,9.8,1022.47
BCW-200736,Rahnella,DSN,1.02,1.1,64.22,1006.13
BCW-201654,Rahnella,DSN,1.16,1,26.97,1003.59
BCW-201176,Rahnella,DSN,1.23,1.2,5.34,1000
BCW-200272,Rahnella,DSN,3.22,1,15.52,992.26
BCW-201010,Rahnella,DSN,2.56,1,12.04,986.71
BCW-201013,Rahnella,DSN,3.15,1,36.84,955.01
BCW-201028,Rahnella,DSN,2.37,1,4.25,916.71
BCW-201187,Rahnella,DSN,2.4,1.3,5.39,913.09
BCW-200716,Rahnella,DSN,1.05,1,53.44,894.68
BCW-200814,Rahnella,DSN,1.06,1,26.41,827.95
BCW-200649,Rahnella,DSN,2.88,1,5.73,824.13
